country,scenario,temp,precip
Uganda,no85bi50,236.15557221459417,1322.2218905410884
United States,no85bi50,157.02388364344543,1119.3660593140291
Venezuela,no85bi50,280.6575414190046,720.1233046164779
Vietnam,no85bi50,250.56903338388017,2075.558446385175
Yemen,no85bi50,202.6395496433448,305.9649236235284
Zambia,no85bi50,227.15291933430973,1116.786298346457
Zimbabwe,no85bi50,226.10888656748034,628.1413898414644
Angola,hg85bi50,244.48157220359803,782.3827369795027
Burundi,hg85bi50,226.34242469347978,1173.7495769452844
Benin,hg85bi50,299.88742993871625,1060.7309303070097
Belize,hg85bi50,262.89215599007923,2041.28208954326
Bolivia,hg85bi50,269.558939213201,1462.9061000887586
Brazil,hg85bi50,254.08774907346623,1461.7767150862774
Central African Republic,hg85bi50,285.4675430886611,1578.5221072718618
China,hg85bi50,210.70160372660047,1488.0164110697792
Côte d'Ivoire,hg85bi50,287.16283074804994,1425.0128933162064
Cameroon,hg85bi50,264.66428210474675,2024.0981549608707
Democratic Republic of the Congo,hg85bi50,270.35638769391045,1631.9682774319679
Republic of Congo,hg85bi50,267.51171763204866,1724.7147517869798
Colombia,hg85bi50,257.95089555935124,3559.4252340725407
Costa Rica,hg85bi50,271.1297355083082,3179.9017647379437
Cuba,hg85bi50,267.301952113901,1234.3030847047708
Dominican Republic,hg85bi50,257.18395002712236,1104.0987590818154
Ecuador,hg85bi50,257.67011127169246,3103.1366512568006
Ethiopia,hg85bi50,230.7863832712552,984.5477204568701
Gabon,hg85bi50,265.97688863923435,1771.929525976419
Ghana,hg85bi50,291.4987207206239,1571.0854976210755
Guinea,hg85bi50,273.8157332573227,1945.7727281828504
Equatorial Guinea,hg85bi50,258.5890562939342,2068.7794540281834
Guatemala,hg85bi50,238.9762091792021,1981.2965510870006
Guyana,hg85bi50,292.5089007411429,1380.0555936476394
Honduras,hg85bi50,258.9850914343169,1449.3593107637314
Haiti,hg85bi50,263.48768885566415,1340.9476305233304
Indonesia,hg85bi50,268.7743874611157,2309.2305165588286
India,hg85bi50,267.0267770503547,2369.2053787307855
Jamaica,hg85bi50,254.47875651494397,2318.2187496969555
Kenya,hg85bi50,291.47020313323736,472.1990140253725
Cambodia,hg85bi50,273.52816884004517,1976.3341363425332
Lao PDR,hg85bi50,239.71154629823593,1431.6924082591754
Liberia,hg85bi50,283.4722540719683,2813.0038001652683
Sri Lanka,hg85bi50,288.6103089118937,1764.8100533773895
Madagascar,hg85bi50,237.8138604107709,1644.6350723732326
Mexico,hg85bi50,246.9541443639857,1377.801971991952
Myanmar,hg85bi50,282.88819571548544,3043.407179304655
Mozambique,hg85bi50,263.2380606964326,952.3064594704244
Malawi,hg85bi50,239.92499408794,937.3081619582069
Malaysia,hg85bi50,285.7334366741715,2655.1207409748636
Nigeria,hg85bi50,287.8554334259889,1596.9008987517493
Nicaragua,hg85bi50,286.02491651909577,1852.0410574085975
Nepal,hg85bi50,237.88643284948895,1710.2413320650774
Panama,hg85bi50,265.3059874366866,2850.1728332916623
Peru,hg85bi50,188.50610534706405,1030.3799518431986
Philippines,hg85bi50,266.1495747185052,2402.208830002017
Papua New Guinea,hg85bi50,252.40642862887302,3017.9577101448076
