"country","variety","coeff","value"
"Dominica","combined","precip2",-5.52987425252631
"Liberia","robusta","precip2",5.29893390411511
"Gabon","robusta","precip2",-4.49468502539503
"Gabon","combined","precip2",-5.15740689927644
"Yemen","combined","precip2",-5.62928428591509
"Yemen","arabica","precip2",10.4340202282407
"Jamaica","arabica","precip2",18.4424193248015
"Samoa","combined","precip2",-5.52987425252631
"Kenya","arabica","precip2",11.5320450058597
"Kenya","combined","precip2",-5.53186987239951
"India","combined","precip2",-5.52987425252631
"Saint.Lucia","combined","precip2",-5.52987425252631
"Rwanda","arabica","precip2",12.3806748140972
"Peru","arabica","precip2",11.9365684041017
"Vanuatu","combined","precip2",-5.52987425252631
"Malawi","arabica","precip2",11.5345795263772
"Benin","robusta","precip2",-0.0695965465438537
"Benin","combined","precip2",-5.22971703768634
"Cuba","arabica","precip2",5.3737787981705
"Togo","robusta","precip2",5.60586963497525
"Tonga","combined","precip2",-5.52987425252631
"Indonesia","combined","precip2",-3.18486720437121
"Mauritius","combined","precip2",-5.52987425252631
"Angola","combined","precip2",-5.82141919061204
"Angola","robusta","precip2",1.27285918694339
"Trinidad.and.Tobago","combined","precip2",-4.35198791960679
"Nicaragua","arabica","precip2",19.4223756145742
"Malaysia","robusta","precip2",-17.9111828566377
"Mozambique","combined","precip2",-5.40256230513381
"Uganda","combined","precip2",-4.93012352486439
"Brazil","combined","precip2",0.365991995263571
"Guinea","robusta","precip2",-8.48105783866907
"Panama","arabica","precip2",12.9831320721882
"Costa.Rica","arabica","precip2",20.3494167714071
"Nigeria","robusta","precip2",-7.10143469511287
"Ecuador","combined","precip2",-13.8419505893753
"El.Salvador","arabica","precip2",14.7862708718828
"Puerto.Rico","combined","precip2",-3.20740769825645
"Thailand","combined","precip2",-12.3025069372274
"Thailand","robusta","precip2",6.25841158785795
"Haiti","arabica","precip2",11.3980251503523
"Belize","combined","precip2",-4.78172358987282
"Sierra.Leone","robusta","precip2",17.4967244428599
"Philippines","combined","precip2",-2.42809023835906
"Timor.Leste","combined","precip2",-6.97434885503711
"Colombia","arabica","precip2",6.04739191907179
"Burundi","combined","precip2",-6.04871051332728
"Burundi","arabica","precip2",11.7833078136806
"Fiji","combined","precip2",-5.52987425252631
"Madagascar","combined","precip2",-2.40725734272124
"Nepal","combined","precip2",-5.52987425252631
"Suriname","combined","precip2",-39.4957532812071
"Zambia","arabica","precip2",9.83895849396664
"Papua.New.Guinea","combined","precip2",8.24284776598478
"Zimbabwe","arabica","precip2",12.9126482944067
"New.Caledonia","combined","precip2",-5.52987425252631
"New.Caledonia","arabica","precip2",11.2182855057555
"Paraguay","arabica","precip2",10.6046925748538
"Guyana","robusta","precip2",1.2862137858389
"Guyana","arabica","precip2",9.45102058395706
"Guyana","combined","precip2",-5.65566511620973
"Honduras","arabica","precip2",8.54710930391527
"Myanmar","combined","precip2",-9.32887689414547
"Mexico","combined","precip2",-5.52987425252631
"Congo","robusta","precip2",5.30831465746697
"Congo","combined","precip2",-5.3473230881244
"Sri.Lanka","combined","precip2",-6.39517558151908
"Comoros","combined","precip2",-5.52987425252631
"global","combined","gdd1000",0.216748198269895
"global","arabica","gdd1000",0.228776796022858
"global","robusta","gdd1000",0.400702486664695
"global","combined","kdd1000",-1.80070026264493
"global","arabica","kdd1000",-1.73114117229739
"global","robusta","kdd1000",-1.76619563821895
"global","combined","avgmin",-0.107996106292967
"global","arabica","avgmin",-0.152212377512122
"global","robusta","avgmin",-0.162927818266134
"global","combined","precip",-2.12437901458077
"global","arabica","precip",-0.156498690775932
"global","robusta","precip",-0.278933899420087
"global","combined","precip2",-5.52987425252631
"global","arabica","precip2",11.2182855057555
"global","robusta","precip2",0.263801750522168
