"distance","diffelev","sddiffelev","crowdist","sdcrowdist","diffpole","sddiffpole","planted","note"
75,-84.7828460487821,564.121348215683,0.109179009463065,0.22896576222098,0.000796589319293887,0.0466785653399383,0.112719586057917,"shifted"
76,-87.594271091954,561.885074454205,0.110348391257288,0.269427201537644,0.000822922247640056,0.0466622473678757,0.111777827082432,"shifted"
77,-88.0133761487915,568.011928222647,0.108496541028483,0.234533483716031,0.00071166635402493,0.0466380399361188,0.111103770564039,"shifted"
78,-88.1776729198494,565.219435147382,0.107218859170006,0.200311954930267,0.000657656467077904,0.0465876655602595,0.110474131076231,"shifted"
79,-91.6314357979661,569.67194803781,0.1099132056919,0.232908433880373,0.000949516517021883,0.0466380324641285,0.108844406201214,"shifted"
80,-90.6020360709825,569.615074951309,0.108951881971134,0.206631676047421,0.00054585042509908,0.0466101606285735,0.108446943443617,"shifted"
81,-88.6048134063833,570.27452445476,0.108520033764896,0.23477830121995,0.000546334517215406,0.0466414780308212,0.107110663180894,"shifted"
82,-85.592495242364,570.230815745399,0.116252104304259,0.36081951364781,0.000552668367141106,0.0466072118627554,0.106385081593287,"shifted"
83,-81.461313532388,573.47145795493,0.105720776091673,0.201759466149905,0.000473903357709031,0.0465580167566972,0.105462311906196,"shifted"
84,-79.9176089818008,572.43978165986,0.109701297335568,0.255466746140042,0.000394478773799627,0.0465216146871252,0.103928840137223,"shifted"
85,-82.2372919617734,576.468753663024,0.105264779684013,0.197192304425018,0.000645600398110703,0.0464287217511139,0.103364818273306,"shifted"
86,-82.0484432426631,575.011182472744,0.112157019462097,0.344976329690771,0.000298637680703692,0.0466018816537332,0.101880271846977,"shifted"
87,-84.3912085394469,573.794023012842,0.105940302226896,0.208390856739777,0.00068926540208367,0.0465368376649334,0.101238480521566,"shifted"
88,-82.1151175899474,572.404518867911,0.104511449770216,0.181820776668386,0.000534685477057654,0.0465508737117902,0.100414934317315,"shifted"
89,-85.8920065005577,578.334272041001,0.106487367985379,0.202287786846002,0.000900406906743462,0.0465236158663323,0.0995835446549225,"shifted"
90,-84.1820520835648,572.903631655547,0.107479735324208,0.254169826082963,0.000812307287487069,0.0465481764090914,0.0980265370846752,"shifted"
91,-82.446328573137,576.36795137515,0.107971730578728,0.219718787789824,0.000822629758808576,0.0464426736272422,0.0978024550925024,"shifted"
92,-79.8627773255513,572.634252604147,0.107457340544186,0.21002141749452,0.000647586755585233,0.0465068412008555,0.0960348137498551,"shifted"
93,-88.2629016535768,572.409037408705,0.104893557340529,0.207761119129892,0.00108649722001413,0.0465119394083976,0.095031785751551,"shifted"
94,-84.7024986285727,571.901689586593,0.1044033352502,0.235443283471586,0.00111251259698064,0.0465254004509547,0.0939808512871333,"shifted"
95,-86.3169088191915,572.437541691682,0.106070304267687,0.270244269879997,0.00132179628597431,0.0464803534024801,0.0936000257430724,"shifted"
96,-86.7961373502509,571.582562165879,0.10630024240132,0.245248954402938,0.00125552577041235,0.0465875673978246,0.0924647812864322,"shifted"
97,-83.8524731454963,573.771581478301,0.10871217352102,0.300380341790019,0.00145166184122885,0.0465816268693365,0.0918371854927321,"shifted"
98,-81.3370609339761,570.97498119658,0.105515615474913,0.208189426087379,0.00126692779698987,0.0466411738532963,0.0909858809135257,"shifted"
99,-81.4860096366602,576.048563844391,0.103007613911449,0.170891740202071,0.00137439374850417,0.0466646266686925,0.0901403855595916,"shifted"
100,-80.5008955642409,576.440090094927,0.107216911800699,0.214759107288039,0.00137606494066476,0.0465874322386044,0.0894682448941183,"shifted"
101,-77.803949007166,572.308873279376,0.108052984116682,0.248066957339728,0.00123848112098685,0.0465573617791177,0.088853783385735,"shifted"
102,-82.736659412032,569.598348705082,0.110272446230355,0.293276071778218,0.00130190974913696,0.0465252365566805,0.0876491403643252,"shifted"
103,-83.7509365039823,573.668519510862,0.104185721314633,0.16970103990837,0.00131048772018112,0.0464633351772007,0.0875841046992961,"shifted"
104,-81.4212827073262,569.411873263761,0.107957940844711,0.269517033567574,0.0012827101126008,0.0464694388891246,0.0871499648649231,"shifted"
105,-78.9507241613298,567.988818325216,0.102195729892147,0.163061669396865,0.00123967792899886,0.0463881173718141,0.0866519815935175,"shifted"
