"X","Y","row","col"
-54.5416679382324,-25.4583339691162,55,1506
-48.5416679382324,-25.5416660308838,54,1578
-57.625,-25.375,56,1469
-57.5416679382324,-25.375,56,1470
-70.4583358764648,-25.375,56,1315
28.0416660308838,-25.5416660308838,54,2497
28.0416660308838,-25.4583339691162,55,2497
28.125,-25.4583339691162,55,2498
30.9583339691162,-25.4583339691162,55,2532
27.2083339691162,-25.5416660308838,54,2487
150.54167175293,-25.4583339691162,55,3967
152.70832824707,-25.5416660308838,54,3993
-57.7083320617676,-25.2916660308838,57,1468
-57.625,-25.2916660308838,57,1469
-57.5416679382324,-25.2916660308838,57,1470
-57.4583320617676,-25.2916660308838,57,1471
28.2916660308838,-25.375,56,2500
45.7916679382324,-25.375,56,2710
152.79167175293,-25.2916660308838,57,3994
152.875,-25.2916660308838,57,3995
29.0416660308838,-25.125,59,2509
28.875,-25.125,59,2507
28.9583339691162,-25.125,59,2508
-65.4583358764648,-24.7916660308838,63,1375
-65.375,-24.7916660308838,63,1376
-50.0416679382324,-24.7916660308838,63,1560
-53.4583320617676,-24.9583339691162,61,1519
152.375,-24.875,62,3989
-53.7083320617676,-24.7083339691162,64,1516
25.875,-24.625,65,2471
25.9583339691162,-24.625,65,2472
31.0416660308838,-24.7916660308838,63,2533
30.2083339691162,-24.4583339691162,67,2523
24.7083339691162,-24.5416660308838,66,2457
150.04167175293,-24.5416660308838,66,3961
149.95832824707,-24.625,65,3960
-65.2916641235352,-24.2083339691162,70,1377
-65.125,-24.375,68,1379
-46.9583320617676,-24.2916660308838,69,1597
-46.5416679382324,-24.0416660308838,72,1602
-52.375,-24.0416660308838,72,1532
-46.7083320617676,-24.125,71,1600
28.9583339691162,-24.125,71,2508
148.95832824707,-24.125,71,3948
-48.875,-23.9583339691162,73,1574
-46.375,-23.9583339691162,73,1604
-46.4583320617676,-23.9583339691162,73,1603
-46.2083320617676,-23.9583339691162,73,1606
29.4583339691162,-23.875,74,2514
29.7083339691162,-23.875,74,2517
30.2916660308838,-23.875,74,2524
31.0416660308838,-23.9583339691162,73,2533
31.125,-23.9583339691162,73,2534
151.29167175293,-23.875,74,3976
-64.7916641235352,-23.7916660308838,75,1383
-46.7083320617676,-23.7916660308838,75,1600
-46.875,-23.7083339691162,76,1598
-46.7916679382324,-23.7083339691162,76,1599
-46.7083320617676,-23.7083339691162,76,1600
-46.625,-23.7083339691162,76,1601
-46.5416679382324,-23.7083339691162,76,1602
-46.4583320617676,-23.7083339691162,76,1603
-46.375,-23.7083339691162,76,1604
-46.875,-23.625,77,1598
-46.7916679382324,-23.625,77,1599
-46.7083320617676,-23.625,77,1600
-46.625,-23.625,77,1601
